league_name,matchID,homeID,home_name,awayID,away_name,predictedTeam,our_prediction,winningTeam,betting_score,MCS,LTAS,normalized_LTAS,TTAS,normalized_TTAS,MCS_CW,LTAS_CW,TTAS_CW,date_unix,Prob_Draw,Prob_Away_Win,Prob_Home_Win,best_bookmaker,best_odd
hungary_nb_i,7467605_2024/2025,119,Ferencváros,984,Debrecen,119,Home Win,-1,0.9361407575757575,0.9393939393939394,0.7954545454545454,0.7954545454545454,92.85499999999999,0.9285499999999999,0.7,0.0,0.3,1730641500,0.051515151515151514,0.00909090909090909,0.9393939393939394,Pncl,1.32
portugal_liga_nos,7574645_2024/2025,82,Porto,164,GD Estoril Praia,82,Home Win,-1,0.9203080303030302,0.9575757575757575,0.8275862068965517,0.8275862068965517,83.33500000000001,0.83335,0.7,0.0,0.3,1730665800,0.03333333333333333,0.00909090909090909,0.9575757575757575,Dafabet,1.17
portugal_liga_nos,7574646_2024/2025,114,Sporting CP,15804,Estrela Amadora,114,Home Win,-1,0.8936363636363636,0.8909090909090909,0.8275862068965517,0.8275862068965517,90.0,0.9,0.7,0.0,0.3,1730492100,0.0696969696969697,0.0393939393939394,0.8909090909090909,Dafabet,1.09
bulgaria_first_league,7455976_2024/2025,111,Ludogorets,668379,Hebar 1918,111,Home Win,-1,0.8914437878787878,0.896969696969697,0.7777777777777778,0.7777777777777778,87.85499999999999,0.8785499999999999,0.7,0.0,0.3,1730638800,0.09393939393939393,0.00909090909090909,0.896969696969697,bet365,1.07
armenia_armenian_premier_league,7717718_2024/2025,883,Shirak,1362,FC Avan Academy,1362,Away Win,-1,0.8900378787878787,0.8696969696969696,0.7894736842105263,0.7894736842105263,93.75,0.9375,0.7,0.0,0.3,1729609200,0.09393939393939393,0.8696969696969696,0.03636363636363636,Unknown,1.0
austria_bundesliga,7482735_2024/2025,100,Salzburg,3410,Grazer AK,100,Home Win,-1,0.8779656060606059,0.9515151515151514,0.7333333333333333,0.7333333333333333,70.63499999999999,0.7063499999999999,0.7,0.0,0.3,1730563200,0.030303030303030304,0.01818181818181818,0.9515151515151514,Dafabet,1.26
greece_super_league,7537357_2024/2025,1104,Lamia,106,PAOK,106,Away Win,-1,0.8724192424242423,0.9606060606060606,0.6666666666666666,0.6666666666666666,66.66499999999999,0.66665,0.7,0.0,0.3,1730658600,0.030303030303030304,0.9606060606060606,0.00909090909090909,Dafabet,1.38
estonia_meistriliiga,7325306_2024,7034,Nõmme United,1635,Paide,1635,Away Win,-1,0.869089696969697,0.9242424242424243,0.7194244604316546,0.7194244604316546,74.03999999999999,0.7404,0.7,0.0,0.3,1730629800,0.04242424242424242,0.9242424242424243,0.03333333333333333,BetClic,1.17
spain_la_liga,7469678_2024/2025,83,FC Barcelona,280,RCD Espanyol,83,Home Win,-1,0.8676186363636363,0.9090909090909092,0.7848101265822784,0.7848101265822784,77.08500000000001,0.77085,0.7,0.0,0.3,1730646900,0.08787878787878788,0.0030303030303030303,0.9090909090909092,Interwetten,1.15
latvia_virsliga,7364969_2024,1089,Riga,1088,Metta - LU,1089,Home Win,-1,0.8592713636363636,0.8909090909090909,0.7478260869565218,0.7478260869565218,78.545,0.78545,0.7,0.0,0.3,1730631600,0.07878787878787878,0.0303030303030303,0.8909090909090909,bet365,1.1
bulgaria_first_league,7455971_2024/2025,3600,Septemvri Sofia,3599,Botev Plovdiv,3599,Away Win,-1,0.8493966666666667,0.8666666666666667,0.7777777777777778,0.7777777777777778,80.91,0.8090999999999999,0.7,0.0,0.3,1730734200,0.10606060606060605,0.8666666666666667,0.027272727272727275,1xbet,1.54
austria_bundesliga,7482737_2024/2025,579,Austria Wien,593,Blau-Weiß Linz,579,Home Win,-1,0.8477316666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333,80.35499999999999,0.8035499999999999,0.7,0.0,0.3,1730649600,0.10909090909090909,0.024242424242424242,0.8666666666666667,Sbo,1.81
latvia_virsliga,7364968_2024,7050,Grobiņa,1090,Rīgas FS,1090,Away Win,-1,0.8410054545454544,0.8636363636363635,0.7478260869565218,0.7478260869565218,78.82,0.7881999999999999,0.7,0.0,0.3,1730631600,0.11515151515151514,0.8636363636363635,0.021212121212121213,BetClic,1.1
germany_2_bundesliga,7491587_2024/2025,556,Preußen Münster,545,Fortuna Düsseldorf,545,Away Win,-1,0.8363636363636363,0.8090909090909091,0.7540983606557377,0.7540983606557377,90.0,0.9,0.7,0.0,0.3,1730482200,0.08484848484848484,0.8090909090909091,0.10606060606060606,Dafabet,2.07
poland_ekstraklasa,7450768_2024/2025,1222,Lechia Gdańsk,1223,Cracovia Kraków,1223,Away Win,-1,0.8248918181818181,0.8545454545454545,0.7625,0.7625,75.57,0.7556999999999999,0.7,0.0,0.3,1730651400,0.10303030303030303,0.8545454545454545,0.04242424242424242,Pncl,2.35
france_ligue_2,7468972_2024/2025,1390,Dunkerque,481,Amiens SC,1390,Home Win,-1,0.8178804545454545,0.7636363636363637,0.8333333333333334,0.8333333333333334,94.445,0.9444499999999999,0.7,0.0,0.3,1730487600,0.21515151515151515,0.02121212121212121,0.7636363636363637,Betway,2.38
portugal_liga_nos,7574651_2024/2025,167,FC Arouca,172,Sporting Braga,172,Away Win,-1,0.8090909090909091,0.7272727272727273,0.8275862068965517,0.8275862068965517,100.0,1.0,0.7,0.0,0.3,1730656800,0.1484848484848485,0.7272727272727273,0.12424242424242424,Sbo,1.8
scotland_premiership,7480200_2024/2025,1017,Hibernian,25,Aberdeen,25,Away Win,-1,0.8048484848484847,0.7212121212121212,0.9117647058823529,0.9117647058823529,100.0,1.0,0.7,0.0,0.3,1732650300,0.19696969696969696,0.7212121212121212,0.08181818181818182,Unknown,1.0
hungary_nb_i,7467601_2024/2025,3767,MTK,3785,Zalaegerszegi TE,3767,Home Win,-1,0.8041948484848485,0.8121212121212121,0.7954545454545454,0.7954545454545454,78.57,0.7857,0.7,0.0,0.3,1730547000,0.1181818181818182,0.0696969696969697,0.8121212121212121,NordicBet,1.95
slovakia_super_lig,7580341_2024/2025,2004,Skalica,982,Slovan Bratislava,982,Away Win,-1,0.8027651515151514,0.7878787878787878,0.7441860465116279,0.7441860465116279,83.75,0.8375,0.7,0.0,0.3,1730307600,0.18484848484848485,0.7878787878787878,0.02727272727272727,Unknown,1.0
hungary_nb_i,7467602_2024/2025,3773,Puskás,3766,Újpest,3773,Home Win,-1,0.8006439393939394,0.7848484848484849,0.7954545454545454,0.7954545454545454,83.75,0.8375,0.7,0.0,0.3,1730561400,0.19696969696969696,0.01818181818181818,0.7848484848484849,Tipico,1.67
ukraine_ukrainian_premier_league,7485276_2024/2025,80,Shakhtar Donetsk,1674,Chornomorets,80,Home Win,-1,0.7997295454545454,0.8363636363636364,0.7096774193548387,0.7096774193548387,71.425,0.7142499999999999,0.7,0.0,0.3,1730563200,0.12121212121212122,0.04242424242424242,0.8363636363636364,1xbet,1.12
england_efl_league_one,7719528_2024/2025,1837,Wrexham,217,Huddersfield Town,1837,Home Win,-1,0.7942424242424242,0.706060606060606,0.7441860465116279,0.7441860465116279,100.0,1.0,0.7,0.0,0.3,1729622700,0.17575757575757575,0.1181818181818182,0.706060606060606,Unknown,1.0
england_efl_league_one,7719520_2024/2025,208,Burton Albion,266,Wycombe Wanderers,266,Away Win,-1,0.7895692424242424,0.7606060606060606,0.7441860465116279,0.7441860465116279,85.715,0.8571500000000001,0.7,0.0,0.3,1729622700,0.17272727272727273,0.7606060606060606,0.06666666666666667,Unknown,1.0
portugal_liga_nos,7574649_2024/2025,4866,Farense,78,Benfica,78,Away Win,-1,0.7883283333333333,0.7333333333333334,0.8275862068965517,0.8275862068965517,91.66499999999999,0.91665,0.7,0.0,0.3,1730570400,0.1393939393939394,0.7333333333333334,0.12727272727272726,Dafabet,1.23
scotland_premiership,7480198_2024/2025,23,Celtic,1018,Dundee United,23,Home Win,-1,0.7853268181818183,0.7545454545454546,0.9117647058823529,0.9117647058823529,85.715,0.8571500000000001,0.7,0.0,0.3,1736365500,0.18787878787878787,0.05757575757575757,0.7545454545454546,Unknown,1.0
serbia_superliga,7453786_2024/2025,673425,Jedinstvo Ub,1941,OFK Beograd,1941,Away Win,-1,0.7810984848484848,0.8212121212121212,0.8169014084507042,0.8169014084507042,68.75,0.6875,0.7,0.0,0.3,1730642400,0.12121212121212122,0.8212121212121212,0.05757575757575757,1xbet,1.57
england_championship,7478891_2024/2025,222,Leeds United,264,Plymouth Argyle,222,Home Win,-1,0.7806536363636363,0.8090909090909091,0.6990291262135923,0.6990291262135923,71.43,0.7143,0.7,0.0,0.3,1730559600,0.1575757575757576,0.03333333333333333,0.8090909090909091,Dafabet,1.21
poland_ekstraklasa,7450773_2024/2025,802,Raków Częstochowa,771,Stal Mielec,802,Home Win,-1,0.7806101515151513,0.7878787878787878,0.7625,0.7625,76.36500000000001,0.76365,0.7,0.0,0.3,1730555100,0.15454545454545454,0.05757575757575757,0.7878787878787878,Marathon,1.38
norway_eliteserien,7295177_2024,335,Viking,342,Sandefjord,335,Home Win,-1,0.7766766666666667,0.8666666666666667,0.689922480620155,0.689922480620155,56.67,0.5667,0.7,0.0,0.3,1730566800,0.08181818181818182,0.051515151515151514,0.8666666666666667,10Bet,1.57
moldova_moldovan_national_division,7515099_2024/2025,686262,CSF Bălți,677066,Floreşti,686262,Home Win,-1,0.7721278787878788,0.7696969696969698,0.78125,0.78125,77.78,0.7778,0.7,0.0,0.3,1730635200,0.17272727272727273,0.05757575757575757,0.7696969696969698,Unknown,1.0
belgium_pro_league,7453524_2024/2025,533,KRC Genk,1048,Royal Antwerp FC,533,Home Win,-1,0.7671162121212121,0.7030303030303031,0.7666666666666667,0.7666666666666667,91.66499999999999,0.91665,0.7,0.0,0.3,1730637000,0.21212121212121213,0.08484848484848484,0.7030303030303031,bwin,1.98
