league_name,matchID,homeID,home_name,awayID,away_name,predictedTeam,winningTeam,betting_score,MCS,LTAS,normalized_LTAS,TTAS,normalized_TTAS,MCS_CW,LTAS_CW,TTAS_CW,Prob_Draw,Prob_Away_Win,Prob_Home_Win,odds_ft_1,odds_ft_x,odds_ft_2
albania_superliga,7526876_2024/2025,1380,Vllaznia Shkodër,62,Partizani Tirana,1380,-1,0.5387931034482758,0.4,0.6551724137931034,0.6551724137931034,60.0,0.6,0.37499999999999994,0.25,0.37499999999999994,0.25757575757575757,0.3424242424242424,0.4,2.4,2.9,2.8
albania_superliga,7526877_2024/2025,909634,AF Elbasani,970,Skënderbeu Korçë,909634,-1,0.5581112852664576,0.5515151515151515,0.6551724137931034,0.6551724137931034,50.0,0.5,0.37499999999999994,0.25,0.37499999999999994,0.39090909090909093,0.05757575757575757,0.5515151515151515,1.9,3.1,3.9
albania_superliga,7526880_2024/2025,1383,Tirana,1376,Laçi,-1,-1,0.4959306034482758,0.5,0.6551724137931034,0.6551724137931034,38.57,0.3857,0.37499999999999994,0.25,0.37499999999999994,0.5,0.09393939393939393,0.40606060606060607,0,0,0
czech_republic_first_league,7468176_2024/2025,2428,Slovan Liberec,2426,Slovácko,2426,-1,0.6902097902097901,0.49696969696969695,0.8153846153846154,0.8153846153846154,80.0,0.8,0.37499999999999994,0.25,0.37499999999999994,0.31818181818181823,0.49696969696969695,0.18484848484848487,1.79,3.2,3.45
czech_republic_first_league,7468177_2024/2025,2431,Sigma Olomouc,2430,Jablonec,2431,-1,0.6578234265734264,0.4606060606060606,0.8153846153846154,0.8153846153846154,75.0,0.75,0.37499999999999994,0.25,0.37499999999999994,0.2606060606060606,0.2787878787878788,0.4606060606060606,2.16,3.34,3.05
czech_republic_first_league,7468178_2024/2025,1213,Slavia Praha,2425,Dukla Praha,1213,-1,0.934527972027972,0.9484848484848485,0.8153846153846154,0.8153846153846154,100.0,1.0,0.37499999999999994,0.25,0.37499999999999994,0.045454545454545456,0.006060606060606061,0.9484848484848485,1.05,13.46,23.48
czech_republic_first_league,7468179_2024/2025,2436,Teplice,2434,Bohemians 1905,2434,-1,0.681131381118881,0.606060606060606,0.8153846153846154,0.8153846153846154,66.67,0.6667000000000001,0.37499999999999994,0.25,0.37499999999999994,0.28181818181818186,0.606060606060606,0.11212121212121212,2.16,3.13,2.65
czech_republic_first_league,7468180_2024/2025,2435,Mladá Boleslav,2424,Karviná,2424,-1,0.6038586538461538,0.4,0.8153846153846154,0.8153846153846154,66.67,0.6667000000000001,0.37499999999999994,0.25,0.37499999999999994,0.29393939393939394,0.4,0.30606060606060603,1.74,3.83,3.86
czech_republic_first_league,7468181_2024/2025,2449,Pardubice,2432,Baník Ostrava,2432,-1,0.6890609265734264,0.4606060606060606,0.8153846153846154,0.8153846153846154,83.33,0.8332999999999999,0.37499999999999994,0.25,0.37499999999999994,0.35151515151515156,0.4606060606060606,0.18787878787878787,4.16,3.62,1.73
czech_republic_first_league,7468182_2024/2025,77,Viktoria Plzeň,86,Sparta Praha,86,-1,0.6671984265734265,0.3606060606060606,0.8153846153846154,0.8153846153846154,87.5,0.875,0.37499999999999994,0.25,0.37499999999999994,0.3,0.3606060606060606,0.33939393939393936,2.74,3.43,2.31
czech_republic_first_league,7468183_2024/2025,2439,České Budějovice,2437,Hradec Králové,-1,-1,0.6627518356643356,0.3848484848484849,0.8153846153846154,0.8153846153846154,83.89,0.8389,0.37499999999999994,0.25,0.37499999999999994,0.3848484848484849,0.3242424242424242,0.2909090909090909,3.04,3.21,2.23
france_ligue_2,7468948_2024/2025,438,Metz,436,Guingamp,-1,-1,0.6810229295069337,0.3939393939393939,0.847457627118644,0.847457627118644,85.715,0.8571500000000001,0.37499999999999994,0.25,0.37499999999999994,0.3939393939393939,0.24242424242424243,0.36363636363636365,2.05,3.4,3.5
france_ligue_2,7468949_2024/2025,432,Caen,486,Troyes,432,-1,0.8175462249614791,0.6151515151515152,0.847457627118644,0.847457627118644,100.0,1.0,0.37499999999999994,0.25,0.37499999999999994,0.28181818181818186,0.10303030303030303,0.6151515151515152,1.78,3.2,3.93
france_ligue_2,7468950_2024/2025,490,Clermont,3874,Martigues,3874,-1,0.6152859976887519,0.40909090909090906,0.847457627118644,0.847457627118644,66.67,0.6667000000000001,0.37499999999999994,0.25,0.37499999999999994,0.28181818181818186,0.40909090909090906,0.3090909090909091,1.62,3.75,5.5
france_ligue_2,7468951_2024/2025,494,Paris,1398,Grenoble Foot 38,494,-1,0.8561825885978427,0.7181818181818183,0.847457627118644,0.847457627118644,100.0,1.0,0.37499999999999994,0.25,0.37499999999999994,0.19393939393939394,0.08787878787878788,0.7181818181818183,1.92,3.2,3.38
france_ligue_2,7468952_2024/2025,1402,Pau,481,Amiens SC,1402,-1,0.7399541795069338,0.693939393939394,0.847457627118644,0.847457627118644,71.43,0.7143,0.37499999999999994,0.25,0.37499999999999994,0.2818181818181818,0.024242424242424242,0.693939393939394,2.1,3.4,3.3
france_ligue_2,7468953_2024/2025,452,Ajaccio,437,Bastia,452,-1,0.7741859976887517,0.6424242424242423,0.847457627118644,0.847457627118644,85.71,0.8571,0.37499999999999994,0.25,0.37499999999999994,0.22424242424242424,0.13333333333333333,0.6424242424242423,2.29,2.93,2.84
france_ligue_2,7468954_2024/2025,1390,Dunkerque,485,Red Star,1390,-1,0.8720916795069336,0.7606060606060605,0.847457627118644,0.847457627118644,100.0,1.0,0.37499999999999994,0.25,0.37499999999999994,0.18484848484848485,0.05454545454545455,0.7606060606060605,2.05,3.5,3.4
