matchID,predictedTeam,winningTeam,is_correct,betting_score,betting_score_interval,home_name,away_name
7537353_2024/2025,5131,5131,True,75.98910606060606,75-80,Aris,Levadiakos
7537355_2024/2025,960,960,True,63.15909090909091,60-65,Volos NFC,Panathinaikos
7537356_2024/2025,116,116,True,64.89156060606061,60-65,Olympiakos Piraeus,Panserraikos
7537357_2024/2025,106,106,True,87.24192424242423,85-90,Lamia,PAOK
7466087_2024/2025,367,120,False,54.1060606060606,50-55,Feyenoord,Ajax
7580341_2024/2025,982,982,True,80.27651515151514,80-85,Skalica,Slovan Bratislava
7580342_2024/2025,2010,2010,True,56.43939393939393,55-60,Spartak Trnava,Komárno
7453523_2024/2025,61,61,True,59.40010606060606,55-60,RSC Anderlecht,KV Kortrijk
7453524_2024/2025,533,533,True,76.7116212121212,75-80,KRC Genk,Royal Antwerp FC
7453525_2024/2025,527,527,True,64.12121212121211,60-65,Standard Liège,Sint-Truiden
7453526_2024/2025,-1,2567,False,51.31580303030302,50-55,Cercle Brugge,Sporting Charleroi
7453528_2024/2025,537,-1,False,61.78690909090909,60-65,KV Mechelen,Union Saint-Gilloise
7453529_2024/2025,669388,534,False,52.888681818181816,50-55,KVC Westerlo,FCV Dender EH
7454755_2024/2025,525,-1,False,75.15151515151516,75-80,Beerschot-Wilrijk,KAA Gent
7478888_2024/2025,216,251,False,67.1520606060606,65-70,Blackburn Rovers,Sheffield United
7478891_2024/2025,222,222,True,78.06536363636363,75-80,Leeds United,Plymouth Argyle
7478892_2024/2025,142,-1,False,70.2194696969697,70-75,Luton Town,West Bromwich Albion
7478893_2024/2025,147,239,False,67.66904545454545,65-70,Middlesbrough,Coventry City
7478895_2024/2025,243,154,False,59.91190909090909,55-60,Oxford United,Swansea City
7478896_2024/2025,210,207,False,54.46969696969697,50-55,Preston North End,Bristol City
7478897_2024/2025,156,-1,False,66.8030303030303,65-70,Queens Park Rangers,Sunderland
7478899_2024/2025,141,141,True,56.8716515151515,55-60,Stoke City,Derby County
7467600_2024/2025,993,-1,False,51.053363636363635,50-55,Győri ETO,Nyíregyháza Spartacus
7467601_2024/2025,3767,-1,False,80.41948484848484,80-85,MTK,Zalaegerszegi TE
7467602_2024/2025,3773,-1,False,80.06439393939394,80-85,Puskás,Újpest
