matchID,predictedTeam,winningTeam,is_correct,betting_score,betting_score_interval,home_name,away_name,MCS,TTAS,LTAS
7526886_2024/2025,1380,1380,True,51.510393939393936,50-55,Vllaznia Shkodër,Skënderbeu Korçë,0.4848484848484848,0.5857,0.59375
7526889_2024/2025,-1,-1,True,59.1405909090909,55-60,Bylis Ballsh,Laçi,0.5272727272727273,0.7410499999999999,0.59375
7526890_2024/2025,1789,1789,True,57.714,55-60,Egnatia Rrogozhinë,Tirana,0.6,0.5238,0.59375
7468186_2024/2025,86,2432,False,76.10934848484847,75-80,Sparta Praha,Baník Ostrava,0.7212121212121212,0.85415,0.8405797101449275
7468188_2024/2025,77,2426,False,56.5530303030303,55-60,Slovácko,Viktoria Plzeň,0.4757575757575757,0.775,0.8405797101449275
7468189_2024/2025,1213,-1,False,68.667,65-70,Hradec Králové,Slavia Praha,0.6,0.8889,0.8405797101449275
7468191_2024/2025,2428,-1,False,70.56093939393939,70-75,České Budějovice,Slovan Liberec,0.6484848484848484,0.8389,0.8405797101449275
7468967_2024/2025,448,490,False,62.17706060606061,60-65,Clermont,Lorient,0.5515151515151515,0.7857,0.8333333333333334
7468969_2024/2025,494,-1,False,75.39393939393939,75-80,Paris,Rodez,0.6484848484848484,1.0,0.8333333333333334
7468970_2024/2025,436,436,True,71.60984848484848,70-75,Guingamp,Grenoble Foot 38,0.6212121212121212,0.9375,0.8333333333333334
7468971_2024/2025,3897,3897,True,65.17045454545453,65-70,Annecy,Pau,0.6363636363636364,0.6875,0.8333333333333334
7468972_2024/2025,1390,1390,True,81.78804545454545,80-85,Dunkerque,Amiens SC,0.7636363636363637,0.94445,0.8333333333333334
7468973_2024/2025,-1,485,False,59.12972727272726,55-60,Martigues,Red Star,0.5181818181818181,0.7619,0.8333333333333334
7364968_2024,1090,1090,True,84.10054545454544,80-85,Grobiņa,Rīgas FS,0.8636363636363635,0.7881999999999999,0.7478260869565218
7364969_2024,1089,1089,True,85.92713636363636,85-90,Riga,Metta - LU,0.8909090909090909,0.78545,0.7478260869565218
7364971_2024,6910,-1,False,68.48478787878787,65-70,BFC Daugavpils,Valmiera / BSS,0.6696969696969697,0.7202,0.7478260869565218
7486606_2024/2025,6622,6622,True,58.03080303030303,55-60,SCM Gloria Buzău,CFR Cluj,0.5575757575757576,0.63335,0.6086956521739131
7486610_2024/2025,5400,5400,True,61.06439393939394,60-65,Dinamo Bucureşti,UTA Arad,0.6848484848484848,0.4375,0.6086956521739131
7486620_2024/2025,10306,-1,False,69.7885606060606,65-70,Universitatea Cluj,SSC Farul,0.7515151515151515,0.57275,0.6086956521739131
7516382_2024/2025,193,-1,False,49.040257575757565,45-50,Kayserispor,Adana Demirspor,0.4939393939393939,0.48215,0.7352941176470589
7516384_2024/2025,105,105,True,58.52316666666666,55-60,Trabzonspor,Fenerbahçe,0.5666666666666667,0.6285499999999999,0.7352941176470589
7516387_2024/2025,355,355,True,57.52316666666666,55-60,Gazişehir Gaziantep,Göztepe,0.4666666666666667,0.8285499999999999,0.7352941176470589
7452333_2024/2025,2516,2516,True,76.57901515151514,75-80,AGF,Lyngby,0.7878787878787878,0.7142499999999999,0.76
7452335_2024/2025,986,986,True,66.61396969696969,65-70,Nordsjælland,Viborg,0.6242424242424243,0.7639,0.76
7452336_2024/2025,974,-1,False,65.78787878787878,65-70,AaB,Vejle,0.5969696969696969,0.8,0.76
7452337_2024/2025,955,2517,False,75.70471212121213,75-80,Midtjylland,Brøndby,0.7303030303030303,0.8194499999999999,0.76
7452338_2024/2025,2521,2521,True,59.62121212121212,55-60,SønderjyskE,Randers,0.5303030303030303,0.75,0.76
7466767_2024/2025,-1,148,False,59.50995454545455,55-60,AFC Bournemouth,Manchester City,0.5363636363636364,0.7321500000000001,0.75
7466770_2024/2025,151,151,True,56.62922727272727,55-60,Liverpool,Brighton & Hove Albion,0.5181818181818182,0.6785499999999999,0.75
7466771_2024/2025,152,-1,False,53.280803030303026,50-55,Manchester United,Chelsea,0.4575757575757576,0.70835,0.75
7466769_2024/2025,108,-1,False,56.71162121212121,55-60,Ipswich Town,Leicester City,0.503030303030303,0.7166499999999999,0.75
7466775_2024/2025,158,92,False,59.22019696969697,55-60,Tottenham Hotspur,Aston Villa,0.5424242424242425,0.70835,0.75
7466772_2024/2025,59,157,False,48.95454545454545,45-50,Newcastle United,Arsenal,0.4636363636363636,0.55,0.75
7466774_2024/2025,144,146,False,74.51515151515152,70-75,Southampton,Everton,0.6787878787878787,0.9,0.75
7491580_2024/2025,36,-1,False,61.318181818181806,60-65,Hamburger SV,Nürnberg,0.5545454545454545,0.75,0.7540983606557377
7491581_2024/2025,52,52,True,66.15201515151514,65-70,Hannover 96,Karlsruher SC,0.5878787878787879,0.83335,0.7540983606557377
